,Vehicle Full Code,Vehicle Code,OEM Model Name,SIAM Company Code,SIAM Segment 1,SIAM Segment 2,SIAM Fuel,Production Qty,Domestic Sale,Export Sale,Category Name,YrMth
17553,TKESOCSCPT,ES,Etios Sedan,TOYOTA KIRLOSKAR MOTOR PVT LTD,C,Super Compact,PETROL,1079,113,389,Passenger car PV,01-05-2019
17554,MMVTOCSCDI,VT,Verito,MAHINDRA & MAHINDRA LTD,C,Super Compact,DIESEL,0,11,0,Passenger car PV,01-05-2019
17555,MMVTOCSCEC,VT,VERITO,MAHINDRA & MAHINDRA LTD,C,Super Compact,ELECTRIC,79,6,0,Passenger car PV,01-05-2019
17556,VIPOBBCTPT,PO,Polo,VOLKSWAGEN INDIA PVT LTD,B+,Compact:,PETROL,291,1271,1215,Passenger car PV,01-05-2019
17557,VIPOBBCTDI,PO,Polo,VOLKSWAGEN INDIA PVT LTD,B+,Compact:,DIESEL,2549,213,0,Passenger car PV,01-05-2019
17558,VIAFCCMSPT,AF,AMEO,VOLKSWAGEN INDIA PVT LTD,C+,Mid-Size,PETROL,528,347,0,Passenger car PV,01-05-2019
17559,VIAFCCMSDI,AF,AMEO,VOLKSWAGEN INDIA PVT LTD,C+,Mid-Size,DIESEL,340,188,0,Passenger car PV,01-05-2019
17560,TKLHBBCTDI,LH,Liva Hatchback,TOYOTA KIRLOSKAR MOTOR PVT LTD,B+,Compact:,DIESEL,373,312,1,Passenger car PV,01-05-2019
17561,NMSYCCMSPT,SY,Sunny,NISSAN MOTOR INDIA PVT LTD,C+,Mid-Size,PETROL,2191,14,3071,Passenger car PV,01-05-2019
17562,SKRDCCMSDI,RD,Rapid,SKODAAUTO INDIA PVT LTD,C+,Mid-Size,DIESEL,625,469,0,Passenger car PV,01-05-2019
17563,SKRDCCMSPT,RD,Rapid,SKODAAUTO INDIA PVT LTD,C+,Mid-Size,PETROL,263,265,0,Passenger car PV,01-05-2019
